放送内容,分類,出演者,初回放送,告知サイト,まとめ,お知らせまとめ2,お知らせまとめ3,アーカイブ
「アイドルマスター シャイニーカラーズ」トーク&ミニライブ～Light Up!!! illumination STARS～,,"関根瞳, 近藤玲奈, 峯田茉優, 坂上陽三, 高山祐介",2018/09/22(土) 14:30,https://idolmaster.jp/blog/?p=49113,https://idolmaster.jp/blog/?p=49410,,,
CICF中国国际漫画节动漫游戏展 3日目(Bステージ) サンドリオン,外部イベント,サンドリオン、会沢紗弥、黒木ほの香、小峯愛未、汐入あすか、成海瑠奈,2018-10-03 13:00,https://www.eventernote.com/events/177049,,,,
CICF中国国际漫画节动漫游戏展 3日目(メインステージ) サンドリオン,外部イベント,サンドリオン、会沢紗弥、黒木ほの香、小峯愛未、汐入あすか、成海瑠奈,2018-10-03 10:00,https://www.eventernote.com/events/175276,,,,
CICF中国国际漫画节动漫游戏展 4日目(Aステージ) サンドリオン,外部イベント,サンドリオン、会沢紗弥、黒木ほの香、小峯愛未、汐入あすか、成海瑠奈,2018-10-04 09:30,https://www.eventernote.com/events/177050,,,,
CICF中国国际漫画节动漫游戏展 4日目(メインステージ) サンドリオン,外部イベント,サンドリオン、会沢紗弥、黒木ほの香、小峯愛未、汐入あすか、成海瑠奈,2018-10-04 14:00,https://www.eventernote.com/events/175277,,,,
アイドルマスター シャイニーカラーズ生配信 ～アンティーカがお祝いするばい！ハーフアニバーサリー大感謝SP！～,シャニマス生配信,"礒部花凜, 菅沼千紗, 八巻アンナ, 成海瑠奈, 結名美月, 高山祐介",2018/10/24(水) 21:00,https://idolmaster.jp/blog/?p=50479,https://idolmaster.jp/blog/?p=50941,,,
サンドリオン ライブ&トークショー 〜多摩に姫がやってきた！〜 サンドリオン,外部イベント,サンドリオン、会沢紗弥、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈,2018-11-01 14:30,https://www.eventernote.com/events/172165,,,,
サンドリオンイベント第19弾「サンドリ・オン・ジュークボックス」 サンドリオン,外部イベント,サンドリオン、会沢紗弥、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈,2018-11-23 19:00,https://www.eventernote.com/events/182139,,,,
こえよせ ~学園型声優トークバラエティ~ 昼の部 サンドリオン,外部イベント,サンドリオン、黒木ほの香、小峯愛未、汐入あすか、成海瑠奈、ピュアリーモンスター、仮屋美希、富沢恵莉、桐生朱音、今野優月、コイヌ・ユイ(中島優衣)、柳木みり、吉咲みゆ、はかせ(IOSYS/跡部泰広),2018-12-01 12:30,https://www.eventernote.com/events/181079,,,,
アイドルマスター シャイニーカラーズ生配信 アルストロメリアの！もういくつ寝るとクリスマスだよSP ,シャニマス生配信,"黒木ほの香, 前川涼子, 芝崎典子, 高山祐介",2018/12/10(月) 20:00,https://idolmaster.jp/blog/?p=53122,https://idolmaster.jp/blog/?p=53561,,,
サンドリオンイベント第20弾「超サンドリ・オン・ステージ」 サンドリオン,外部イベント,サンドリオン、会沢紗弥、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈,2018-12-26 18:00,https://www.eventernote.com/events/185029,,,,
